NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
140,"CMS MARINE ENGINEERING SDN. BHD.",G1,PERAK,MANJUNG, 01-84040688, , Yes, Yes, Yes
141,"CMZ JAYA",G1,PERAK,MANJUNG, 0195242089, , Yes, Yes, Yes
142,"COBL ENTERPRISE",G1,PERAK,MANJUNG, 01-97166059, , Yes, Yes, 
143,"CONFORD CONSTRUCTION",G1,PERAK,MANJUNG, 01-94002993, -, Yes, Yes, Yes
144,"CONSTRUCTION AF ENTERPRISE",G1,PERAK,MANJUNG, 01-89530593, , Yes, Yes, Yes
145,"CTAH ENTERPRISE",G1,PERAK,MANJUNG, 0125654309, 0, Yes, Yes, Yes
146,"D ARA ENTERPRISE",G1,PERAK,MANJUNG, 01-97445897, -, Yes, Yes, Yes
147,"D AZURIS RESOURCES",G1,PERAK,MANJUNG, 01-97742177, , Yes, , 
148,"D KURNIA ENTERPRISE",G1,PERAK,MANJUNG, 01-16150060, , Yes, Yes, Yes
149,"D REL ENTERPRISE",G1,PERAK,MANJUNG, 01-29457494, 0, Yes, Yes, Yes
150,"DA CHENG WORKS TRADING",G1,PERAK,MANJUNG, 01-65231243, , Yes, , 
151,"DANAZ ENTERPRISE",G1,PERAK,MANJUNG, 01125517876, , Yes, Yes, Yes
152,"DANIEL TERUS MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-11639915, , Yes, Yes, Yes
153,"DANISH ONE ENTERPRISE",G1,PERAK,MANJUNG, 01-16199502, , Yes, Yes, Yes
154,"DANISH TOP SOLUTION",G1,PERAK,, 0163694024, , Yes, Yes, Yes
155,"DAYA USAHA RESOURCES",G1,PERAK,MANJUNG, 01-35237501, , Yes, Yes, 
156,"DE WAEI ENTERPRISE",G1,PERAK,MANJUNG, 01-04337138, , Yes, Yes, Yes
157,"DEE EMPIRE",G1,PERAK,MANJUNG, 01-75875435, , Yes, Yes, Yes
158,"DEEN UTAMA SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01110064848, , Yes, Yes, Yes
159,"DFC DAUS ENTERPRISE",G1,PERAK,MANJUNG, 01-75529134, , Yes, Yes, Yes
160,"DHUHAA ISMA ENTERPRISE",G1,PERAK,MANJUNG, 01-95704293, , Yes, Yes, Yes
161,"DMSS SEGAR ENTERPRISE",G1,PERAK,MANJUNG, 01-95121990, , Yes, Yes, Yes
162,"DOLLYCA LEGACY",G1,PERAK,MANJUNG, 01-25282478, , Yes, Yes, Yes
163,"DOUBLE H ENTERPRISE",G1,PERAK,MANJUNG, 0, 0, Yes, Yes, Yes
164,"DOUBLEE H LEGACY",G1,PERAK,MANJUNG, 01-83584487, , Yes, Yes, 
165,"DS SHALIN ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, 
166,"DURIAN RUNTUH ENTERPRISE",G1,PERAK,MANJUNG, 01-24607131, , Yes, Yes, Yes
167,"DY CORNER",G1,PERAK,MANJUNG, 01-12804933, , Yes, Yes, Yes
168,"DZUL ENTERPRISE",G1,PERAK,MANJUNG, 01-25703150, , Yes, Yes, Yes
169,"EIJA EMPIRE ENTERPRISE",G1,PERAK,MANJUNG, 01-75587179, , Yes, Yes, Yes
170,"EKIN LEGACY",G1,PERAK,MANJUNG, 01-95590485, , Yes, Yes, Yes
171,"EKRAL MEGA ENTERPRISE",G1,PERAK,MANJUNG, 019-5129224, 05-6887922, Yes, Yes, Yes
172,"ELEKTRIK YUSHA",G1,PERAK,MANJUNG, 0115854733, , Yes, Yes, Yes
173,"ELITECORE PRO SERVICES",G1,PERAK,MANJUNG, 01-25113356, , Yes, , 
174,"EMPAYAR LESTARI ENTERPRISE",G1,PERAK,MANJUNG, 01-76182446, , Yes, Yes, Yes
175,"EMPAYAR MAI",G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, 
176,"EMPAYAR XAMIDS",G1,PERAK,MANJUNG, 01-65108317, , Yes, Yes, Yes
177,"EMRON ENTERPRISE",G1,PERAK,MANJUNG, 01-95708851, -, Yes, Yes, Yes
178,"ENTERIC DEFENCE",G1,PERAK,MANJUNG, 01-65559730, , Yes, Yes, Yes
179,"ESAY FAST ENTERPRISE",G1,PERAK,MANJUNG, 01-25072556, 0, Yes, Yes, Yes
180,"ESYAF RESOURCES",G1,PERAK,MANJUNG, 01-24603032, , Yes, Yes, Yes
181,"ETOSA ENTERPRISE",G1,PERAK,MANJUNG, 056885981, 056885984, Yes, Yes, Yes
182,"EX SERVICE AND SUPPLY",G1,PERAK,MANJUNG, 01-11193637, , Yes, Yes, Yes
183,"EXTRIME MEGA RESOURCES",G1,PERAK,MANJUNG, 01-34783845, , Yes, Yes, Yes
184,"EZ BINA SEPAKAT ENTERPRISE",G1,PERAK,MANJUNG, 056918545, , Yes, , 
185,"EZ GLORY ENTERPRISE",G1,PERAK,MANJUNG, 01-95741600, , Yes, Yes, Yes
186,"EZRA MINECRAFT ENTERPRISE",G1,PERAK,MANJUNG, 01-95585967, , Yes, Yes, Yes
187,"EZRISYA LEGACY EMPIRE",G1,PERAK,MANJUNG, 01124095509, , Yes, Yes, Yes
188,"F & R JAYA RESOURCES",G1,PERAK,MANJUNG, 01137407487, , Yes, Yes, 
189,"F.I.A. ENERGY ENTERPRISE",G1,PERAK,MANJUNG, 01-42585663, , Yes, Yes, 
190,"FA & ZA ENTERPRISE",G1,PERAK,MANJUNG, 01-94660943, , Yes, Yes, Yes
191,"FA MEGAH TRUSTED ENTERPRISE",G1,PERAK,MANJUNG, 0144009279, , Yes, , 
192,"FA SOURCES LEGACY",G1,PERAK,MANJUNG, 01-39507026, , Yes, Yes, Yes
193,"FA WARISAN ES ENTERPRISE",G1,PERAK,MANJUNG, 01-28502153, , Yes, Yes, Yes
194,"FALISYAS LILY ENTERPRISE",G1,PERAK,MANJUNG, 01-25060607, , Yes, Yes, Yes
195,"FALLAH ENTERPRISE",G1,PERAK,MANJUNG, 056774269, -, Yes, Yes, Yes
196,"FAMIN LEGACY",G1,PERAK,MANJUNG, 01-64580679, , Yes, Yes, Yes
197,"FAMIRA GEMILANG ENTERPRISE",G1,PERAK,MANJUNG, 0195749085, -, Yes, Yes, Yes
198,"FANATECH ENTERPRISE",G1,PERAK,MANJUNG, 01-65257644, , Yes, Yes, Yes
199,"FANTASTIC TREND SDN. BHD.",G1,PERAK,MANJUNG, 1-121509434, -, Yes, Yes, Yes
200,"FATIHAH BINA ENTERPRISE",G1,PERAK,MANJUNG, 01-28816192, , Yes, Yes, Yes
201,"FAZ ARENA VENTURE",G1,PERAK,MANJUNG, 01-25220510, , Yes, Yes, Yes
202,"FE DINAMIK RESOURCES",G1,PERAK,MANJUNG, 01-04079323, , Yes, Yes, Yes
203,"FFE GLOBAL RESOURCES",G1,PERAK,MANJUNG, 01-39664699, , Yes, Yes, 
204,"FILA GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-25563434, 0, Yes, Yes, Yes
205,"FIR RESOURCES",G1,PERAK,MANJUNG, 01-95081226, , Yes, Yes, Yes
206,"FIRAH FARID ENTERPRISE",G1,PERAK,MANJUNG, 01-11272409, , Yes, Yes, Yes
207,"FIRST GLOBAL VENTURE SDN. BHD.",G1,PERAK,MANJUNG, 05-6870622, , Yes, Yes, Yes
208,"FITZ GLOBAL",G1,PERAK,MANJUNG, 01-04044996, , Yes, Yes, Yes
209,"FIVE N SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-95704263, , Yes, Yes, Yes
210,"FLYRNZ SUPPLY & SERVICES",G1,PERAK,MANJUNG, 01-95790548, , Yes, Yes, Yes
211,"FM BINA LEGACY",G1,PERAK,MANJUNG, 01-97229097, , Yes, Yes, Yes
212,"FR STAR RESOURCES",G1,PERAK,MANJUNG, 01-89588423, , Yes, Yes, Yes
213,"FRESOLUTION ENTERPRISE",G1,PERAK,MANJUNG, 01-93501613, , Yes, Yes, Yes
214,"FY BINA ENTERPRISE",G1,PERAK,MANJUNG, 01-94460943, , Yes, Yes, Yes
215,"GBA ENTERPRISE",G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
216,"GEMILANG MAS",G1,PERAK,MANJUNG, 01-75108192, , Yes, Yes, Yes
217,"GERAK ASAS ENTERPRISE",G1,PERAK,MANJUNG, 01-96007737, , Yes, Yes, Yes
218,"GERBANG RESTU ENTERPRISE",G1,PERAK,MANJUNG, 0195263430, -, Yes, Yes, Yes
219,"GESING ENTERPRISE",G1,PERAK,MANJUNG, 056884461, 056884461, Yes, Yes, Yes
220,"GHINA RIZQ ENTERPRISE",G1,PERAK,MANJUNG, 01-82998597, , Yes, Yes, Yes
221,"GLOBAL STEEL ENGINEERING WORK",G1,PERAK,, 056649109, -, Yes, , 
222,"GMAXX RESOURCES",G1,PERAK,MANJUNG, 60-, , Yes, Yes, Yes
223,"GREEN SPACE ENTERPRISE",G1,PERAK,MANJUNG, 01-42426291, , Yes, Yes, Yes
224,"GUGUSAN BINA ENTERPRISE",G1,PERAK,MANJUNG, 056888970, -, Yes, Yes, Yes
225,"HA DYNAMIC (M) SDN. BHD.",G1,PERAK,MANJUNG, 01-24680449, , Yes, Yes, Yes
226,"HAB STRATEGIC RESOURCES",G1,PERAK,MANJUNG, 01-97277010, , Yes, Yes, 
227,"HAFQA ENTERPRISE",G1,PERAK,MANJUNG, 01-11137504, , Yes, Yes, Yes
228,"HAJATKU ENTERPRISE",G1,PERAK,MANJUNG, 01-33857574, , Yes, Yes, Yes
