NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
121,HAZ ONE ENTERPRISE,G1,PERAK,MANJUNG, 01-95689531, , Yes, Yes, Yes
122,HBI LEKIR ENTERPRISE,G1,PERAK,MANJUNG,175921181, , Yes, Yes, Yes
123,HELMAS JAYA ENTERPRISE,G1,PERAK,MANJUNG, 01-26799062, 01-26799062, Yes, Yes, Yes
124,HIAS ENTERPRISE,G1,PERAK,MANJUNG,195958377, -, Yes, Yes, Yes
125,HIRAZU ENTERPRISE,G1,PERAK,MANJUNG, 01-77214984,0, Yes, Yes, Yes
126,HNE ENTERPRISE,G1,PERAK,MANJUNG, 01-94977952, , Yes, Yes, Yes
127,HQH IDEALS,G1,PERAK,MANJUNG, 01-23203923, , Yes, Yes, Yes
128,HUSNA RICH ENTERPRISE,G1,PERAK,MANJUNG,195941760, , Yes, Yes, Yes
129,HYPER LINK ENTERPRISE,G1,PERAK,MANJUNG, 01-94442640, -, Yes, Yes, Yes
130,IKA TEGUH ENTERPRISE,G1,PERAK,MANJUNG,125228494,56882695, Yes, Yes, Yes
131,INDAH ALWAANY ENTERPRISE,G1,PERAK,MANJUNG, 01-93227284, , Yes, Yes, Yes
132,INF SUPPLY AND SERVICES,G1,PERAK,MANJUNG, 01-75378905, , Yes, Yes, Yes
133,IO ENTERPRISE,G1,PERAK,MANJUNG, 05-6889114, 05-6889114, Yes, Yes, Yes
134,IPCONZ ENTERPRISE,G1,PERAK,MANJUNG, 01-24178848, , Yes, Yes, Yes
135,IRZAD LEGACY,G1,PERAK,MANJUNG,182024268, , Yes, Yes, Yes
136,ISMAIL GEMILANG ENTERPRISE,G1,PERAK,MANJUNG,104690736, , Yes, Yes, Yes
137,ISSE RESOURCES,G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
138,IZS BRILLIANT ENTERPRISE,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
139,IZZI GLOBAL,G1,PERAK,MANJUNG,197304405, , Yes, Yes, Yes
140,IZZREAL ENTERPRISE,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
141,JAFDEQ ENTERPRISE,G1,PERAK,MANJUNG,56888240,56888240, Yes, Yes, Yes
142,JAGAT SATU ENTERPRISE,G1,PERAK,MANJUNG, 01-95762310,0, Yes, Yes, Yes
143,JALINAN KLASIK ENTERPRISE,G1,PERAK,MANJUNG, 01-25172321, -, Yes, Yes, Yes
144,JALUR SEMANGAT (M) SDN. BHD.,G1,PERAK,MANJUNG,135937702, -, Yes, Yes, Yes
145,JANA FARZAN ENTERPRISE,G1,PERAK,MANJUNG,56888817,56888817, Yes, Yes, Yes
146,JANAR RESOURCES,G1,PERAK,MANJUNG, 01-12423556, , Yes, Yes, Yes
147,JANOR GEMILANG,G1,PERAK,MANJUNG,174156297, -, Yes, Yes, Yes
148,JATINITA,G1,PERAK,MANJUNG, 01-62222651, -, Yes, Yes, Yes
149,JER LOAN ENTERPRISE,G1,PERAK,MANJUNG,197155282,0, Yes, Yes, Yes
150,JERNIH JAYA ENTERPRISE,G1,PERAK,MANJUNG,56884100,56884100, Yes, Yes, Yes
151,JNN TEGUH RESOURCES,G1,PERAK,MANJUNG, 05-56912695, , Yes, Yes, Yes
152,JONIKA ENTERPRISE,G1,PERAK,MANJUNG, 01-28262834, , Yes, Yes, Yes
153,JUIS ENTERPRISE,G1,PERAK,MANJUNG, 01-25171005,56920658, Yes, Yes, Yes
154,JURAGAN GIGIH ENTERPRISE,G1,PERAK,MANJUNG,56791376, -, Yes, Yes, Yes
155,K.C.Y.BINA ENTERPRISE,G1,PERAK,MANJUNG,175860584, -, Yes, Yes, Yes
156,KAFNEE ENTERPRISE,G1,PERAK,MANJUNG,56885768,56881951, Yes, Yes, Yes
157,KAK NAMAH ENTERPRISE,G1,PERAK,MANJUNG, 01-75562522, , Yes, Yes, Yes
158,KAYAN BINA ENTERPRISE,G1,PERAK,MANJUNG, 01-25217476, , Yes, Yes, Yes
159,KAZMIR ENTERPRISE,G1,PERAK,MANJUNG, 01-23817281, -, Yes, Yes, Yes
160,KEJURULAUTAN PADU,G1,PERAK,MANJUNG, 01-35373653, 05-6914261, Yes, Yes, Yes
161,KEPAH ENTERPRISE,G1,PERAK,MANJUNG,1121502807, -, Yes, Yes, Yes
162,KHAIBINA LEGACY,G1,PERAK,MANJUNG,1156550012, , Yes, Yes, Yes
163,KHAILYN LEGACY,G1,PERAK,MANJUNG, 01-94078899, , Yes, Yes, Yes
164,KHAIRAINI ENTERPRISE,G1,PERAK,MANJUNG, 01-24478349, , Yes, Yes, Yes
165,KHAIRIZ GLOBAL,G1,PERAK,MANJUNG,108690012, , Yes, Yes, Yes
166,KIS SUCCESS ENTERPRISE,G1,PERAK,MANJUNG, 01-34455096, , Yes, Yes, Yes
167,KITA PASTI MAJU ENTERPRISE,G1,PERAK,MANJUNG, 01-23456140, , Yes, Yes, Yes
168,KNN MANJUNG ENTERPRISE,G1,PERAK,MANJUNG, 01-02765239, , Yes, Yes, Yes
169,KOPERASI PEKEBUN KECIL MANJUNG BERHAD,G1,PERAK,MANJUNG,56723092,56726536, Yes, Yes, Yes
170,KREATIF BINA,G1,PERAK,MANJUNG,56791633, -, Yes, Yes, Yes
171,KULAANKU ENTERPRISE,G1,PERAK,MANJUNG,56791299,56793272, Yes, Yes, Yes
172,KUSTAMAN ENTERPRISE,G1,PERAK,MANJUNG, 01-35814262, -, Yes, Yes, Yes
173,KYRASYA BINA RESOURCES,G1,PERAK,MANJUNG, 01-62150355, , Yes, Yes, Yes
174,L DUA TIGA DUA ENTERPRISE,G1,PERAK,MANJUNG,125026506, -, Yes, Yes, Yes
175,LASKAR SETIA ENTERPRISE,G1,PERAK,MANJUNG, 01-95671590, , Yes, Yes, Yes
176,LAUTAN SUCI ENTERPRISE,G1,PERAK,MANJUNG, 01-36381834, 05-6920408, Yes, Yes, Yes
177,LEGASI AKTIF,G1,PERAK,MANJUNG, 012-5315741, , Yes, Yes, Yes
178,LEGASI KM ENTERPRISE,G1,PERAK,MANJUNG, 01-03908258, , Yes, Yes, Yes
179,LEKIR HIGHWAY ENTERPRISE,G1,PERAK,MANJUNG,56791080, -, Yes, Yes, Yes
180,LIFIQAH KRISTAL ENTERPRISE,G1,PERAK,MANJUNG, 01-38174565, , Yes, Yes, Yes
181,LUMUT VENTURE SDN. BHD.,G1,PERAK,MANJUNG,56885579,56884087, Yes, Yes, Yes
182,M & J SUPPLY AND SERVICES ENTERPRISE,G1,PERAK,MANJUNG, 01-25419903, , Yes, Yes, Yes
183,MAAMOR JAYA ENTERPRISE,G1,PERAK,MANJUNG,56922436, 05-6922436, Yes, Yes, Yes
184,MADIR ENTERPRISE,G1,PERAK,MANJUNG, 01-25775296, , Yes, Yes, Yes
185,MAE GROUP ENTERPRISE,G1,PERAK,MANJUNG,1111305539, , Yes, Yes, Yes
186,MAHATAN ENTERPRISE,G1,PERAK,MANJUNG, 01-83884198, , Yes, Yes, Yes
187,MARSKLIN ENTERPRISE,G1,PERAK,MANJUNG,195706551, -, Yes, Yes, Yes
188,MASPROTAX RESOURCES,G1,PERAK,MANJUNG, 01-95125125, , Yes, Yes, Yes
189,MASYHUR 3 D ENTERPRISE,G1,PERAK,MANJUNG, 01-75108192, , Yes, Yes, Yes
190,MAVIC PRO ENTERPRISE,G1,PERAK,MANJUNG, 01-37427127, , Yes, Yes, Yes
191,MAWAR ARIF ENTERPRISE,G1,PERAK,MANJUNG,1136294048, , Yes, Yes, Yes
192,MAYZAX ENTERPRISE,G1,PERAK,MANJUNG,56791485, -, Yes, Yes, Yes
193,MAZZ VENTURE,G1,PERAK,MANJUNG, 01-18888787, , Yes, Yes, Yes
194,MBA BINA LEGACY,G1,PERAK,MANJUNG, 01-13951154, , Yes, Yes, Yes
195,MBA MAJU JAYA ENTERPRISE,G1,PERAK,MANJUNG,185784700,0, Yes, Yes, Yes
196,MBI BERKAT MAJU VENTURES,G1,PERAK,MANJUNG, 01-92656009, , Yes, Yes, Yes
